CHILD,DECOM,RNE,LS,CIN,PLACE,PLACE_PROVIDER,DEC,REC,REASON_PLACE_CHANGE,HOME_POST,PL_POST,URN,LA,YEAR
398768,2017-04-09,S,L3,N1,U4,PR1,2017-10-31,E7,,V28 5OY,H8 7NR,1679094,Hillingdon,2017
296227,2017-09-11,S,C1,N2,U5,PR4,2017-09-13,X1,PLACE,C13 6WC,C26 9VP,9961998,Southwark,2017
296227,2017-09-13,P,C1,N2,U4,PR1,,X1,,B12 2KE,S19 8BX,3013387,Southwark,2017
868699,2016-01-11,P,J3,N7,H5,PR4,2017-04-06,E14,,Y27 2JT,X17 1HG,5722664,Hillingdon,2017
640353,2017-11-10,S,C2,N2,U5,PR4,,X1,CLOSE,M26 1OB,V7 1WK,6082332,Southwark,2017
180638,2017-03-13,S,L1,N8,H5,PR4,2017-06-22,E16,,I29 7SW,N9 4PF,7512151,Hillingdon,2017
62551,2018-03-25,S,V2,N2,U4,PR4,,E9,,H5 1QW,W11 2OA,3905024,Bromley,2017
438762,2016-04-30,L,D1,N5,U4,PR4,2017-05-20,E4B,,R17 5TO,S2 6GC,5157290,Bromley,2017
185992,2016-07-15,S,V2,N7,U5,PR1,2017-06-19,X1,,P14 4ZU,H11 3WT,2329980,Bromley,2017
185992,2017-06-19,L,J3,N7,U5,PR1,2018-02-18,X1,ALLEG,P14 4ZU,H11 3WT,2329980,Bromley,2017
185992,2018-02-18,P,J3,N7,U5,PR4,,E11,,K2 9VV,P27 4LF,5685255,Bromley,2017
532130,2016-12-25,P,J3,N8,U5,PR1,2017-09-26,X1,STAND,A16 1OO,G3 7SU,3542935,Bromley,2017
532130,2017-09-26,P,J3,N8,U5,PR1,2018-01-12,X1,CREQB,H22 6SP,R8 7BQ,8348902,Bromley,2017
532130,2018-01-12,P,J3,N8,U4,PR4,2018-03-02,X1,,V15 2PP,K15 6MA,8046269,Bromley,2017
532130,2018-03-02,L,V4,N8,U4,PR4,,E46,,V15 2PP,K15 6MA,8046269,Bromley,2017
671161,2015-09-26,B,L2,N1,U4,PR4,2017-06-25,X1,CLOSE,K28 2VL,Y12 2VX,5348433,Bromley,2017
671161,2017-06-25,P,L2,N1,U6,PR1,2017-09-21,E11,,P22 8TL,F26 2RX,8465381,Bromley,2017
880317,2017-02-07,S,D1,N4,K2,PR1,2017-04-02,E14,,P21 9UR,A16 6NM,6367455,Southwark,2017
604967,2017-03-26,P,D1,N6,U4,PR4,2017-05-21,E46,,D15 6OB,B1 5DE,2136293,Southwark,2017
775405,2015-06-24,S,C2,N2,P2,PR1,2017-04-28,E12,,F1 6XL,A20 2FO,9927363,Southwark,2017
286807,2016-11-03,L,D1,N3,U5,PR1,2017-06-02,X1,,F25 4IC,V30 6IB,8747776,Southwark,2017
286807,2017-06-02,T,D1,N3,U5,PR1,2017-11-17,E48,,F25 4IC,V30 6IB,8747776,Southwark,2017
225242,2017-02-28,L,L2,N8,U4,PR4,2017-07-08,X1,,Y19 7OZ,J7 9ZE,1633007,Bromley,2017
