CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
296227,2,23/06/2002,NOBT,R056024362409,,,Southwark,2020
640353,1,19/02/2004,REFU,Z053273524673,,,Southwark,2020
62551,2,18/03/2005,OOTH,R084010198416,,,Bromley,2018
185992,2,29/07/2009,BAFR,U054252063976,,,Bromley,2017
532130,1,24/07/2009,APKN,H071379593570,,,Bromley,2021
828936,2,27/09/2007,MOTH,D066329546107,,,Southwark,2020
521525,1,13/06/2002,REFU,N070571845496,,,Southwark,2017
225242,2,27/11/2005,AIND,E024501213825,,,Bromley,2021
158853,2,11/04/2008,WBRI,E043584864318,,,Southwark,2020
295982,1,21/02/2009,MWBC,T051788328004,,,Bromley,2019
397815,1,27/04/2000,MWAS,T065572515321,,,Southwark,2021
53693,1,28/12/2007,MWBA,E072016439902,,,Southwark,2020
168196,1,12/10/2009,APKN,L066695746570,,,Southwark,2019
637234,2,07/08/2006,APKN,G014513081279,,,Southwark,2021
406894,2,15/08/2002,ABAN,V019456276394,,,Southwark,2021
58470,2,28/05/2004,AIND,F008851001771,,,Bromley,2021
738595,1,20/07/2000,WOTH,X002342828700,,,Southwark,2019
319688,2,05/12/2004,WROM,D024316977511,,,Hillingdon,2021
96860,1,17/11/2007,WOTH,D071452210331,,,Bromley,2018
721638,2,03/07/2009,WIRT,G008792854228,,,Hillingdon,2017
525420,1,12/12/2009,WOTH,R041861435456,,,Bromley,2020
711196,2,17/07/2005,APKN,D043851960232,,,Southwark,2017
533550,2,13/04/2000,WBRI,A062730026530,,,Bromley,2020
370565,2,11/05/2009,CHNE,I047419005346,,,Southwark,2020
515339,1,10/11/2005,BCRB,S016112573169,,,Hillingdon,2020
733166,2,15/01/2005,NOBT,N091451139698,,,Southwark,2020
289653,1,29/12/2001,WIRT,A048478311268,,,Southwark,2020
944392,1,16/04/2005,AOTH,Y028052828138,,,Bromley,2019
457493,2,09/06/2007,WOTH,T049797830770,,,Southwark,2019
59536,1,05/01/2001,NOBT,R005482628546,,,Southwark,2021
447903,1,19/03/2007,MWAS,Q013754822945,,,Southwark,2019
230591,2,15/04/2009,MWBC,A067433156499,,,Bromley,2019
92629,1,31/07/2006,WROM,L042232277738,,,Hillingdon,2020
626490,2,03/10/2009,AIND,U076204007293,,,Bromley,2018
718139,1,25/12/2008,MOTH,Y045825008717,,,Hillingdon,2017
623826,1,30/12/2003,APKN,E050651948637,,,Southwark,2020
934454,1,07/06/2001,OOTH,V030401216782,,,Southwark,2020
955207,1,22/10/2008,OOTH,W018324324781,,,Southwark,2017
521749,1,17/11/2005,BAFR,Z078480542435,,,Hillingdon,2020
158809,2,19/09/2006,WROM,I080683999830,,,Hillingdon,2019
374015,1,26/11/2008,BOTH,R026374952883,,,Southwark,2019
344070,2,09/09/2007,WIRT,Z012405551068,,,Bromley,2018
207288,2,28/10/2007,BCRB,B068323705724,,,Hillingdon,2017
420870,2,13/09/2005,WIRI,S036567914789,,,Bromley,2020
115396,1,09/06/2001,AIND,M051241019272,,,Southwark,2017
748243,1,01/10/2007,AIND,W059468322032,,,Southwark,2018
686067,1,07/03/2007,OOTH,B011159170354,,,Southwark,2019
600195,1,09/04/2005,BCRB,U076996251385,,,Southwark,2017
227758,1,23/04/2003,MWBC,R052046819237,,,Hillingdon,2020
276736,1,27/03/2002,WROM,S087282221661,,,Southwark,2019
184159,1,19/09/2007,BOTH,D099660751122,,,Hillingdon,2020
355263,1,11/06/2004,BAFR,Z080204631746,,,Southwark,2020
545261,1,14/12/2006,WIRI,H042028194278,,,Bromley,2020
814528,1,17/07/2004,REFU,I011102004022,,,Hillingdon,2017
911317,2,13/04/2002,AIND,K027090584965,,,Southwark,2019
830787,1,17/11/2003,WBRI,B040909196751,,,Southwark,2018
243537,2,17/01/2006,OOTH,H085633752004,,,Southwark,2021
461710,2,31/12/2007,BOTH,P062214076854,,,Bromley,2021
439481,2,17/04/2007,WBRI,J016387031321,,,Bromley,2017
80405,1,06/11/2008,WIRT,X086610882498,,,Southwark,2020
259754,1,02/05/2007,MOTH,X012605454287,,,Southwark,2020
451430,1,05/06/2002,WBRI,C006644338139,,,Bromley,2021
536499,2,15/02/2002,MWAS,V099394504485,,,Hillingdon,2019
585985,1,02/08/2002,CHNE,R016961879461,,,Southwark,2021
458146,2,11/12/2000,WOTH,Y093791936878,,,Southwark,2017
115810,1,03/11/2008,BCRB,J036726362111,,,Bromley,2021
700392,2,07/08/2008,MOTH,Z051414404651,,,Bromley,2018
336438,2,27/05/2003,BOTH,Y034668472441,,,Hillingdon,2019
260471,1,17/03/2002,AOTH,J031376199335,,,Bromley,2021
300991,1,27/01/2001,APKN,J064396537844,,,Bromley,2020
631002,2,24/11/2000,WIRT,G099305176452,,,Bromley,2020
531616,1,30/09/2001,APKN,H052678878193,,,Southwark,2019
725812,2,21/11/2006,WBRI,P002971600776,,,Bromley,2018
904092,2,20/06/2005,REFU,Y067126633030,,,Bromley,2018
735996,1,05/10/2007,WROM,C009844470867,,,Southwark,2018
814676,2,21/02/2002,MOTH,L051308299899,,,Southwark,2017
424048,2,28/04/2004,WIRI,K052262191905,,,Hillingdon,2020
502939,1,08/07/2005,AOTH,J006324372711,,,Hillingdon,2021
955390,1,03/09/2005,CHNE,M053319012692,,,Bromley,2020
535258,1,24/01/2009,WIRT,Y042695356004,,,Hillingdon,2018
536074,2,05/11/2008,WIRI,O071080534225,,,Southwark,2020
504825,1,02/10/2008,APKN,X022195043820,,,Southwark,2021
731959,2,29/09/2007,WOTH,R061705640248,,,Hillingdon,2019
115869,1,06/08/2006,NOBT,M027788110997,,,Hillingdon,2017
370716,1,21/07/2009,WOTH,S085294584266,,,Southwark,2019
279171,1,15/01/2008,MOTH,Y090960052228,,,Bromley,2017
99151,1,27/12/2005,REFU,V026071191052,,,Bromley,2020
87408,2,09/01/2005,MOTH,P019403841816,,,Hillingdon,2021
332604,1,08/09/2002,MWAS,Y089693361499,,,Southwark,2021
204727,1,17/03/2006,APKN,X017180369396,,,Southwark,2019
872667,2,26/09/2006,ABAN,Y072060183409,,,Southwark,2018
