CHILD,SEX,DOB,DUC,LA,YEAR
830787,1,17/11/2003,12/11/2021,Southwark,2021
87408,2,09/01/2005,05/01/2023,Hillingdon,2017
993726,2,18/02/2001,14/02/2019,Southwark,2017
274248,2,12/06/2005,08/06/2023,Hillingdon,2021
318887,1,07/09/2002,02/09/2020,Southwark,2017
534005,2,14/05/2000,10/05/2018,Southwark,2020
766270,1,09/02/2002,05/02/2020,Bromley,2017
549349,1,14/05/2005,10/05/2023,Hillingdon,2017
675419,1,06/03/2005,02/03/2023,Hillingdon,2017
970280,2,02/07/2007,27/06/2025,Bromley,2021
717291,1,10/05/2008,06/05/2026,Bromley,2020
109036,2,22/09/2004,18/09/2022,Southwark,2019
582902,1,13/02/2006,09/02/2024,Bromley,2020
850642,2,11/11/2006,06/11/2024,Bromley,2019
261594,2,17/12/2001,13/12/2019,Southwark,2021
543132,1,16/06/2004,12/06/2022,Bromley,2021
21038,1,11/11/2005,07/11/2023,Hillingdon,2018
479546,2,20/06/2004,16/06/2022,Southwark,2020
442704,1,22/09/2003,17/09/2021,Southwark,2020
979155,1,13/07/2008,09/07/2026,Southwark,2020
309655,1,04/06/2006,30/05/2024,Southwark,2018
571007,2,22/09/2009,18/09/2027,Southwark,2021
790932,2,19/05/2007,14/05/2025,Bromley,2020
830787,1,17/11/2003,12/11/2021,Southwark,2018
87408,2,09/01/2005,05/01/2023,Hillingdon,2017
274248,2,12/06/2005,08/06/2023,Hillingdon,2020
318887,1,07/09/2002,02/09/2020,Southwark,2021
766270,1,09/02/2002,05/02/2020,Bromley,2020
549349,1,14/05/2005,10/05/2023,Hillingdon,2020
970280,2,02/07/2007,27/06/2025,Bromley,2019
717291,1,10/05/2008,06/05/2026,Bromley,2019
109036,2,22/09/2004,18/09/2022,Southwark,2019
582902,1,13/02/2006,09/02/2024,Bromley,2021
479546,2,20/06/2004,16/06/2022,Southwark,2021
442704,1,22/09/2003,17/09/2021,Southwark,2020
979155,1,13/07/2008,09/07/2026,Southwark,2021
309655,1,04/06/2006,30/05/2024,Southwark,2019
571007,2,22/09/2009,18/09/2027,Southwark,2020
790932,2,19/05/2007,14/05/2025,Bromley,2018
87408,2,09/01/2005,05/01/2023,Hillingdon,2020
970280,2,02/07/2007,27/06/2025,Bromley,2021
109036,2,22/09/2004,18/09/2022,Southwark,2020
582902,1,13/02/2006,09/02/2024,Bromley,2017
479546,2,20/06/2004,16/06/2022,Southwark,2019
442704,1,22/09/2003,17/09/2021,Southwark,2020
309655,1,04/06/2006,30/05/2024,Southwark,2019
571007,2,22/09/2009,18/09/2027,Southwark,2021
87408,2,09/01/2005,05/01/2023,Hillingdon,2018
970280,2,02/07/2007,27/06/2025,Bromley,2020
109036,2,22/09/2004,18/09/2022,Southwark,2017
479546,2,20/06/2004,16/06/2022,Southwark,2017
