CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
15639,1,13/02/2002,APKN,A039061489352,,,Brighton and Hove,2019
76769,2,07/07/2000,BCRB,S002076714491,,,Buckinghamshire,2019
151355,1,29/10/2003,BCRB,D052341939113,,,Slough,2019
108462,2,16/12/2004,WIRT,O059616996906,,,West Berkshire,2019
126425,2,18/07/2002,ABAN,E077614380423,,,Kent,2019
189721,1,09/05/2005,AOTH,C080563731620,,,Surrey,2019
158304,2,02/10/2005,BCRB,C008960413382,,,Milton Keynes,2019
141799,2,10/12/2003,MWBA,A056104759645,,,Oxfordshire,2019
160968,1,02/03/2007,MWBC,A076368375893,,,Wokingham,2019
164735,1,11/08/2002,AOTH,B049581750590,,,Buckinghamshire,2019
150403,2,28/12/2005,APKN,R081759094813,,,Brighton and Hove,2019
101396,1,31/07/2006,BOTH,W095393668535,,,West Sussex,2019
113184,1,22/10/2005,MWAS,S035017428053,,,Wokingham,2019
108963,1,16/09/2007,REFU,R083360606960,,,West Sussex,2019
145321,1,24/12/2004,OOTH,E024133064360,,,Slough,2019
103672,1,06/01/2002,OOTH,P069411471047,,,Portsmouth,2019
118259,2,14/09/2000,ABAN,X028673246250,,,Medway,2019
161030,2,06/07/2006,AIND,C018501108344,,,West Sussex,2019
122253,1,19/04/2004,MWBC,M000705260471,,,Brighton and Hove,2019
123197,2,10/05/2004,CHNE,C030393891302,,,Slough,2019
178929,2,01/03/2007,NOBT,M005745681202,,,Isle of Wight,2019
161873,2,13/07/2006,MOTH,B050521439559,,,Oxfordshire,2019
101253,2,29/03/2006,AOTH,R049774536665,,,Wokingham,2019
188156,2,15/09/2002,MWBC,N073697177165,,,Milton Keynes,2019
106383,1,14/08/2000,AOTH,Z021623625664,,,Portsmouth,2019
192861,1,26/06/2000,WBRI,D089046602844,,,Portsmouth,2019
203185,1,12/07/2006,APKN,K015973638430,,,Brighton and Hove,2019
279386,1,21/04/2009,WROM,A074833792303,,,Portsmouth,2019
223927,1,08/01/2003,MWBA,V083023187594,,,Milton Keynes,2019
256288,2,04/10/2003,ABAN,S098181304887,,,East Sussex,2019
275562,2,05/06/2007,MWBC,M052822791846,,,East Sussex,2019
219031,2,16/12/2004,WOTH,C073994975460,,,Kent,2019
221514,1,22/03/2002,CHNE,R021952729443,,,Portsmouth,2019
215273,1,29/07/2003,BCRB,X017259138869,,,Wokingham,2019
