CHILD,SEX,DOB,DUC,LA,YEAR
77939,2,09/09/2001,05/09/2019,East Sussex,2023
43345,1,20/01/2002,16/01/2020,West Berkshire,2021
70814,2,04/02/2003,30/01/2021,West Sussex,2021
64729,2,28/01/2002,24/01/2020,East Sussex,2020
927,2,30/10/2001,26/10/2019,Oxfordshire,2022
10006,1,01/10/2000,27/09/2018,Bracknell Forest,2024
15639,1,13/02/2002,09/02/2020,Brighton and Hove,2019
76769,2,07/07/2000,03/07/2018,Buckinghamshire,2019
80607,2,29/07/2002,24/07/2020,Wokingham,2023
71701,1,12/11/2000,08/11/2018,West Berkshire,2022
23421,1,04/07/2000,30/06/2018,Oxfordshire,2020
64156,1,09/03/2003,04/03/2021,Isle of Wight,2021
10478,1,02/05/2001,28/04/2019,Kent,2020
99145,2,22/02/2001,18/02/2019,Milton Keynes,2024
77968,1,29/05/2001,25/05/2019,East Sussex,2021
188847,1,10/12/2007,05/12/2025,Buckinghamshire,2021
109086,1,07/08/2005,03/08/2023,Portsmouth,2020
151355,1,29/10/2003,24/10/2021,Slough,2019
108462,2,16/12/2004,12/12/2022,West Berkshire,2019
126425,2,18/07/2002,13/07/2020,Kent,2019
145063,1,18/07/2003,13/07/2021,Medway,2021
189721,1,09/05/2005,05/05/2023,Surrey,2019
193044,1,16/07/2005,12/07/2023,Hampshire,2024
124666,1,01/07/2000,27/06/2018,Oxfordshire,2022
158304,2,02/10/2005,28/09/2023,Milton Keynes,2019
184391,1,07/09/2007,02/09/2025,Bracknell Forest,2023
104769,1,01/07/2002,26/06/2020,Slough,2023
141799,2,10/12/2003,05/12/2021,Oxfordshire,2019
167167,1,25/05/2002,20/05/2020,Windsor and Maidenhead,2024
111839,2,18/03/2005,14/03/2023,West Sussex,2024
158403,1,16/10/2000,12/10/2018,Windsor and Maidenhead,2024
160968,1,02/03/2007,25/02/2025,Wokingham,2019
109587,1,29/09/2003,24/09/2021,Isle of Wight,2022
181906,1,28/11/2002,23/11/2020,East Sussex,2024
171556,2,05/06/2006,31/05/2024,Medway,2021
155216,2,05/02/2008,31/01/2026,West Berkshire,2024
147118,2,10/01/2008,05/01/2026,Isle of Wight,2020
164735,1,11/08/2002,06/08/2020,Buckinghamshire,2019
131878,1,07/12/2007,02/12/2025,Kent,2023
176994,2,02/09/2002,28/08/2020,Wokingham,2024
140673,2,10/08/2004,06/08/2022,Wokingham,2023
104714,2,23/11/2007,18/11/2025,Brighton and Hove,2022
138786,1,14/06/2006,09/06/2024,Portsmouth,2020
160063,2,04/02/2004,30/01/2022,Wokingham,2022
141345,1,03/03/2006,27/02/2024,Brighton and Hove,2022
150403,2,28/12/2005,24/12/2023,Brighton and Hove,2019
159993,1,17/10/2005,13/10/2023,Hampshire,2023
156738,2,23/08/2001,19/08/2019,Slough,2023
101396,1,31/07/2006,26/07/2024,West Sussex,2019
168732,1,02/01/2002,29/12/2019,East Sussex,2021
135023,1,24/11/2000,20/11/2018,Wokingham,2023
102601,2,25/05/2003,20/05/2021,Isle of Wight,2021
154485,1,25/06/2003,20/06/2021,Bracknell Forest,2023
131676,1,18/12/2002,13/12/2020,Windsor and Maidenhead,2022
122056,1,10/01/2008,05/01/2026,Southampton,2021
112333,1,13/03/2008,09/03/2026,West Sussex,2022
153065,2,23/03/2008,19/03/2026,West Berkshire,2023
191762,2,21/02/2004,16/02/2022,West Sussex,2023
100927,2,12/08/2007,07/08/2025,Brighton and Hove,2022
134203,2,23/07/2003,18/07/2021,Surrey,2022
113184,1,22/10/2005,18/10/2023,Wokingham,2019
152033,2,01/03/2008,25/02/2026,East Sussex,2020
133861,2,06/02/2001,02/02/2019,Milton Keynes,2023
130052,1,14/06/2002,09/06/2020,Bracknell Forest,2023
108963,1,16/09/2007,11/09/2025,West Sussex,2019
144875,1,05/12/2003,30/11/2021,Wokingham,2020
141339,2,03/10/2007,28/09/2025,Brighton and Hove,2022
145321,1,24/12/2004,20/12/2022,Slough,2019
175695,2,14/10/2006,09/10/2024,Milton Keynes,2021
108681,1,23/07/2006,18/07/2024,Buckinghamshire,2022
119076,2,04/07/2003,29/06/2021,West Berkshire,2022
157315,1,02/07/2006,27/06/2024,Brighton and Hove,2023
103672,1,06/01/2002,02/01/2020,Portsmouth,2019
118259,2,14/09/2000,10/09/2018,Medway,2019
144296,1,20/06/2003,15/06/2021,Brighton and Hove,2022
161030,2,06/07/2006,01/07/2024,West Sussex,2019
177281,2,01/12/2002,26/11/2020,Hampshire,2023
154309,2,27/03/2008,23/03/2026,Wokingham,2023
134086,1,18/04/2003,13/04/2021,Portsmouth,2024
190034,1,05/11/2005,01/11/2023,Milton Keynes,2023
122253,1,19/04/2004,15/04/2022,Brighton and Hove,2019
142855,1,13/09/2002,08/09/2020,Bracknell Forest,2022
199053,1,30/12/2006,25/12/2024,Oxfordshire,2021
177206,2,10/03/2001,06/03/2019,Kent,2021
123197,2,10/05/2004,06/05/2022,Slough,2019
178929,2,01/03/2007,24/02/2025,Isle of Wight,2019
105259,1,31/08/2001,27/08/2019,Brighton and Hove,2020
165777,1,07/01/2008,02/01/2026,Southampton,2024
179916,2,31/07/2006,26/07/2024,Reading,2023
149532,2,10/11/2007,05/11/2025,Reading,2021
143787,2,30/03/2003,25/03/2021,Wokingham,2020
161873,2,13/07/2006,08/07/2024,Oxfordshire,2019
104428,2,12/04/2002,07/04/2020,West Sussex,2020
164589,1,07/10/2003,02/10/2021,Isle of Wight,2020
186715,2,28/05/2001,24/05/2019,West Sussex,2023
139369,1,02/07/2003,27/06/2021,Buckinghamshire,2020
117700,1,27/06/2000,23/06/2018,Buckinghamshire,2024
163370,2,14/05/2002,09/05/2020,Buckinghamshire,2022
141613,2,18/07/2000,14/07/2018,East Sussex,2022
180365,1,05/10/2005,01/10/2023,Bracknell Forest,2024
170712,2,23/01/2006,19/01/2024,Oxfordshire,2024
131698,2,25/07/2005,21/07/2023,Isle of Wight,2020
148382,1,13/09/2004,09/09/2022,Kent,2022
101253,2,29/03/2006,24/03/2024,Wokingham,2019
110408,2,17/09/2003,12/09/2021,Hampshire,2023
153200,2,31/03/2001,27/03/2019,Portsmouth,2024
188156,2,15/09/2002,10/09/2020,Milton Keynes,2019
167586,1,15/11/2000,11/11/2018,Surrey,2022
105391,2,10/09/2002,05/09/2020,Brighton and Hove,2020
106383,1,14/08/2000,10/08/2018,Portsmouth,2019
142731,1,08/06/2001,04/06/2019,Reading,2023
188304,2,01/04/2006,27/03/2024,Slough,2024
143491,1,01/10/2003,26/09/2021,Oxfordshire,2022
109278,1,20/08/2004,16/08/2022,Milton Keynes,2021
100339,1,01/05/2002,26/04/2020,Buckinghamshire,2024
183980,2,22/05/2007,17/05/2025,Southampton,2021
198991,1,17/11/2005,13/11/2023,Brighton and Hove,2020
110874,2,24/04/2000,20/04/2018,East Sussex,2023
154307,2,12/05/2007,07/05/2025,Portsmouth,2023
192861,1,26/06/2000,22/06/2018,Portsmouth,2019
163064,2,09/07/2003,04/07/2021,Brighton and Hove,2024
242485,2,22/01/2009,18/01/2027,Hampshire,2024
203185,1,12/07/2006,07/07/2024,Brighton and Hove,2019
253585,1,04/08/2001,31/07/2019,Wokingham,2021
244325,1,18/09/2009,14/09/2027,Brighton and Hove,2023
276636,2,01/07/2004,27/06/2022,Medway,2023
207200,1,14/05/2000,10/05/2018,Brighton and Hove,2023
279386,1,21/04/2009,17/04/2027,Portsmouth,2019
202395,2,09/08/2005,05/08/2023,Wokingham,2023
293726,2,20/05/2008,16/05/2026,Bracknell Forest,2021
291821,1,27/11/2006,22/11/2024,Portsmouth,2022
265962,2,10/02/2004,05/02/2022,Bracknell Forest,2022
252306,1,03/04/2004,30/03/2022,Portsmouth,2022
207701,2,22/07/2000,18/07/2018,Milton Keynes,2023
238440,2,22/11/2006,17/11/2024,Oxfordshire,2023
289674,1,29/03/2009,25/03/2027,Windsor and Maidenhead,2020
299336,1,13/12/2001,09/12/2019,Windsor and Maidenhead,2022
223927,1,08/01/2003,03/01/2021,Milton Keynes,2019
250812,2,12/12/2007,07/12/2025,Milton Keynes,2024
293706,2,04/10/2001,30/09/2019,Windsor and Maidenhead,2023
248004,2,18/10/2006,13/10/2024,West Sussex,2023
231378,1,02/12/2005,28/11/2023,Southampton,2024
212151,2,06/09/2006,01/09/2024,West Berkshire,2021
256288,2,04/10/2003,29/09/2021,East Sussex,2019
257639,1,18/09/2003,13/09/2021,Windsor and Maidenhead,2021
275562,2,05/06/2007,31/05/2025,East Sussex,2019
243052,2,16/06/2003,11/06/2021,Hampshire,2021
258401,2,12/02/2005,08/02/2023,Hampshire,2022
219031,2,16/12/2004,12/12/2022,Kent,2019
237356,2,03/03/2010,27/02/2028,Surrey,2020
257772,2,22/10/2003,17/10/2021,Hampshire,2022
221698,1,10/06/2005,06/06/2023,Brighton and Hove,2022
277547,2,11/08/2007,06/08/2025,West Sussex,2023
221514,1,22/03/2002,17/03/2020,Portsmouth,2019
228918,2,09/08/2007,04/08/2025,Isle of Wight,2022
297904,1,28/09/2002,23/09/2020,Portsmouth,2022
215401,2,01/10/2007,26/09/2025,Portsmouth,2021
215273,1,29/07/2003,24/07/2021,Wokingham,2019
234432,2,11/08/2006,06/08/2024,Kent,2022
251428,1,14/08/2009,10/08/2027,Oxfordshire,2020
233004,2,11/07/2001,07/07/2019,Milton Keynes,2022
212806,2,06/05/2006,01/05/2024,Portsmouth,2022
284058,2,27/04/2008,23/04/2026,Hampshire,2024
